ENA.genome.ID_scholz;Genomes.list;Genome.ID;Genome.Name;NCBI.Taxon.ID;Genome.Status;Strain;Host.Name;R_Phenotype;Phenotype;Completion.Date;BioProject.Accession;BioSample.Accession;Assembly.Accession;GenBank.Accessions;Sequencing.Centers;Contigs;Genome.Length;GC.Content;PATRIC.CDS;Comments;Additional.Metadata;Coarse.Consistency;Fine.Consistency;Genome.Quality.Flags;Genome.Quality;Date.Inserted;Date.Modified;Host.species_scholz;Common.name_scholz;Supergroup_scholz
GCA_902638465;GCA_902638465.1_WOLB0235_genomic;244204,217;uncultured Wolbachia sp. strain WOLB0235;244204;WGS;WOLB0235;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139882;GCA_902638465.1;CACPZS010000001,CACPZS010000002,CACPZS010000003,CACPZS010000004,CACPZS010000005,CACPZS010000006,CACPZS010000007;Centre for Integrative Biology (CIBIO), University of Trento;118;1200311;35,22137;1307;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;99;;Good;2020-01-01T06:27:48.383Z;2020-01-01T06:27:48.383Z;Drosophila melanogaster;Fruit fly;A
GCA_902638475;GCA_902638475.1_WOLB0237_genomic;244204,219;uncultured Wolbachia sp. strain WOLB0237;244204;WGS;WOLB0237;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139884;GCA_902638475.1;CACPZR010000001,CACPZR010000002,CACPZR010000003,CACPZR010000004,CACPZR010000005,CACPZR010000006,CACPZR010000007;Centre for Integrative Biology (CIBIO), University of Trento;115;1187656;35,212467;1287;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:27:47.605Z;2020-01-01T06:27:47.605Z;Drosophila melanogaster;Fruit fly;A
GCA_902638485;GCA_902638485.1_WOLB0240_genomic;244204,221;uncultured Wolbachia sp. strain WOLB0240;244204;WGS;WOLB0240;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139887;GCA_902638485.1;CACPZQ010000001,CACPZQ010000002,CACPZQ010000003,CACPZQ010000004,CACPZQ010000005,CACPZQ010000006,CACPZQ010000007;Centre for Integrative Biology (CIBIO), University of Trento;117;1204511;35,191376;1311;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;99;;Good;2020-01-01T06:27:46.499Z;2020-01-01T06:27:46.499Z;Drosophila melanogaster;Fruit fly;A
GCA_902638495;GCA_902638495.1_WOLB0236_genomic;244204,22;uncultured Wolbachia sp. strain WOLB0236;244204;WGS;WOLB0236;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139883;GCA_902638495.1;CACPZP010000001,CACPZP010000002,CACPZP010000003,CACPZP010000004,CACPZP010000005,CACPZP010000006,CACPZP010000007;Centre for Integrative Biology (CIBIO), University of Trento;120;1202338;35,224953;1296;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;98,9;;Good;2020-01-01T06:27:46.130Z;2020-01-01T06:27:46.130Z;Drosophila melanogaster;Fruit fly;A
GCA_902638505;GCA_902638505.1_WOLB0238_genomic;244204,225;uncultured Wolbachia sp. strain WOLB0238;244204;WGS;WOLB0238;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139885;GCA_902638505.1;CACPZN010000001,CACPZN010000002,CACPZN010000003,CACPZN010000004,CACPZN010000005,CACPZN010000006,CACPZN010000007;Centre for Integrative Biology (CIBIO), University of Trento;115;1198847;35,163204;1299;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:27:44.179Z;2020-01-01T06:27:44.179Z;Drosophila melanogaster;Fruit fly;A
GCA_902638515;GCA_902638515.1_WOLB0239_genomic;244204,222;uncultured Wolbachia sp. strain WOLB0239;244204;WGS;WOLB0239;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139886;GCA_902638515.1;CACPZO010000001,CACPZO010000002,CACPZO010000003,CACPZO010000004,CACPZO010000005,CACPZO010000006,CACPZO010000007;Centre for Integrative Biology (CIBIO), University of Trento;119;1198631;35,17229;1308;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:17:43.519Z;2020-01-01T06:17:43.519Z;Drosophila melanogaster;Fruit fly;A
GCA_902638525;GCA_902638525.1_WOLB0241_genomic;244204,223;uncultured Wolbachia sp. strain WOLB0241;244204;WGS;WOLB0241;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139888;GCA_902638525.1;CACPZU010000001,CACPZU010000002,CACPZU010000003,CACPZU010000004,CACPZU010000005,CACPZU010000006,CACPZU010000007;Centre for Integrative Biology (CIBIO), University of Trento;119;1198433;35,159664;1302;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;99;;Good;2020-01-01T06:27:44.631Z;2020-01-01T06:27:44.631Z;Drosophila melanogaster;Fruit fly;A
GCA_902638535;GCA_902638535.1_WOLB0244_genomic;244204,1169;uncultured Wolbachia sp. strain WOLB0244;244204;WGS;WOLB0244;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139891;GCA_902638535.1;CACPZT010000001,CACPZT010000002,CACPZT010000003,CACPZT010000004,CACPZT010000005,CACPZT010000006,CACPZT010000007;Centre for Integrative Biology (CIBIO), University of Trento;123;1196089;35,266773;1289;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-02-07T13:50:54.571Z;2020-02-07T13:50:54.571Z;Drosophila melanogaster;Fruit fly;A
GCA_902638545;GCA_902638545.1_WOLB0246_genomic;244204,226;uncultured Wolbachia sp. strain WOLB0246;244204;WGS;WOLB0246;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139893;GCA_902638545.1;CACQAD010000001,CACQAD010000002,CACQAD010000003,CACQAD010000004,CACQAD010000005,CACQAD010000006,CACQAD010000007;Centre for Integrative Biology (CIBIO), University of Trento;117;1190852;35,191444;1287;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:45:26.565Z;2020-01-01T06:45:26.565Z;Drosophila melanogaster;Fruit fly;A
GCA_902638555;GCA_902638555.1_WOLB0248_genomic;244204,227;uncultured Wolbachia sp. strain WOLB0248;244204;WGS;WOLB0248;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139895;GCA_902638555.1;CACQAF010000001,CACQAF010000002,CACQAF010000003,CACQAF010000004,CACQAF010000005,CACQAF010000006,CACQAF010000007;Centre for Integrative Biology (CIBIO), University of Trento;118;1199429;35,29888;1298;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:31:50.094Z;2020-01-01T06:31:50.094Z;Drosophila melanogaster;Fruit fly;A
GCA_902638565;GCA_902638565.1_WOLB0245_genomic;244204,231;uncultured Wolbachia sp. strain WOLB0245;244204;WGS;WOLB0245;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139892;GCA_902638565.1;CACPZW010000001,CACPZW010000002,CACPZW010000003,CACPZW010000004,CACPZW010000005,CACPZW010000006,CACPZW010000007;Centre for Integrative Biology (CIBIO), University of Trento;118;1191515;35,22079;1291;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:45:25.574Z;2020-01-01T06:45:25.574Z;Drosophila melanogaster;Fruit fly;A
GCA_902638575;GCA_902638575.1_WOLB0247_genomic;244204,228;uncultured Wolbachia sp. strain WOLB0247;244204;WGS;WOLB0247;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139894;GCA_902638575.1;CACQAE010000001,CACQAE010000002,CACQAE010000003,CACQAE010000004,CACQAE010000005,CACQAE010000006,CACQAE010000007;Centre for Integrative Biology (CIBIO), University of Trento;120;1203012;35,25875;1297;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,7;;Good;2020-01-01T06:45:27.011Z;2020-01-01T06:45:27.011Z;Drosophila melanogaster;Fruit fly;A
GCA_902638585;GCA_902638585.1_WOLB0242_genomic;244204,236;uncultured Wolbachia sp. strain WOLB0242;244204;WGS;WOLB0242;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139889;GCA_902638585.1;CACPZX010000001,CACPZX010000002,CACPZX010000003,CACPZX010000004,CACPZX010000005,CACPZX010000006,CACPZX010000007;Centre for Integrative Biology (CIBIO), University of Trento;117;1194535;35,29708;1285;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:29:59.256Z;2020-01-01T06:29:59.256Z;Drosophila melanogaster;Fruit fly;A
GCA_902638595;GCA_902638595.1_WOLB0253_genomic;244204,235;uncultured Wolbachia sp. strain WOLB0253;244204;WGS;WOLB0253;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139900;GCA_902638595.1;CACQAC010000001,CACQAC010000002,CACQAC010000003,CACQAC010000004,CACQAC010000005,CACQAC010000006,CACQAC010000007;Centre for Integrative Biology (CIBIO), University of Trento;119;1196925;35,338303;1292;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:29:59.645Z;2020-01-01T06:29:59.645Z;Drosophila melanogaster;Fruit fly;A
GCA_902638605;GCA_902638605.1_WOLB0252_genomic;244204,232;uncultured Wolbachia sp. strain WOLB0252;244204;WGS;WOLB0252;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139899;GCA_902638605.1;CACPZY010000001,CACPZY010000002,CACPZY010000003,CACPZY010000004,CACPZY010000005,CACPZY010000006,CACPZY010000007;Centre for Integrative Biology (CIBIO), University of Trento;117;1191306;35,229237;1293;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:31:50.509Z;2020-01-01T06:31:50.509Z;Drosophila melanogaster;Fruit fly;A
GCA_902638615;GCA_902638615.1_WOLB0243_genomic;244204,233;uncultured Wolbachia sp. strain WOLB0243;244204;WGS;WOLB0243;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139890;GCA_902638615.1;CACPZZ010000001,CACPZZ010000002,CACPZZ010000003,CACPZZ010000004,CACPZZ010000005,CACPZZ010000006,CACPZZ010000007;Centre for Integrative Biology (CIBIO), University of Trento;117;1200249;35,11463;1288;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,7;;Good;2020-01-01T06:29:53.836Z;2020-01-01T06:29:53.836Z;Drosophila melanogaster;Fruit fly;A
GCA_902638625;GCA_902638625.1_WOLB0249_genomic;244204,234;uncultured Wolbachia sp. strain WOLB0249;244204;WGS;WOLB0249;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139896;GCA_902638625.1;CACQAB010000001,CACQAB010000002,CACQAB010000003,CACQAB010000004,CACQAB010000005,CACQAB010000006,CACQAB010000007;Centre for Integrative Biology (CIBIO), University of Trento;117;1192752;35,12541;1287;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;99;;Good;2020-01-01T06:32:31.730Z;2020-01-01T06:32:31.730Z;Drosophila melanogaster;Fruit fly;A
GCA_902638635;GCA_902638635.1_WOLB0251_genomic;244204,229;uncultured Wolbachia sp. strain WOLB0251;244204;WGS;WOLB0251;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139898;GCA_902638635.1;CACQAA010000001,CACQAA010000002,CACQAA010000003,CACQAA010000004,CACQAA010000005,CACQAA010000006,CACQAA010000007;Centre for Integrative Biology (CIBIO), University of Trento;118;1192784;35,276043;1289;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;99;;Good;2020-01-01T06:32:11.277Z;2020-01-01T06:32:11.277Z;Drosophila melanogaster;Fruit fly;A
GCA_902638645;GCA_902638645.1_WOLB0250_genomic;244204,23;uncultured Wolbachia sp. strain WOLB0250;244204;WGS;WOLB0250;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139897;GCA_902638645.1;CACPZV010000001,CACPZV010000002,CACPZV010000003,CACPZV010000004,CACPZV010000005,CACPZV010000006,CACPZV010000007;Centre for Integrative Biology (CIBIO), University of Trento;118;1191527;35,212715;1294;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:31:50.899Z;2020-01-01T06:31:50.899Z;Drosophila melanogaster;Fruit fly;A
GCA_902638655;GCA_902638655.1_WOLB0264_genomic;244204,239;uncultured Wolbachia sp. strain WOLB0264;244204;WGS;WOLB0264;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139911;GCA_902638655.1;CACQAT010000001,CACQAT010000002,CACQAT010000003,CACQAT010000004,CACQAT010000005,CACQAT010000006,CACQAT010000007;Centre for Integrative Biology (CIBIO), University of Trento;116;1190271;35,19963;1291;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:45:31.912Z;2020-01-01T06:45:31.912Z;Drosophila melanogaster;Fruit fly;A
GCA_902638665;GCA_902638665.1_WOLB0263_genomic;244204,24;uncultured Wolbachia sp. strain WOLB0263;244204;WGS;WOLB0263;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139910;GCA_902638665.1;CACQAR010000001,CACQAR010000002,CACQAR010000003,CACQAR010000004,CACQAR010000005,CACQAR010000006,CACQAR010000007;Centre for Integrative Biology (CIBIO), University of Trento;118;1208996;35,274475;1315;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;99;;Good;2020-01-01T06:45:31.473Z;2020-01-01T06:45:31.473Z;Drosophila melanogaster;Fruit fly;A
GCA_902638675;GCA_902638675.1_WOLB0266_genomic;244204,238;uncultured Wolbachia sp. strain WOLB0266;244204;WGS;WOLB0266;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139913;GCA_902638675.1;CACQAO010000001,CACQAO010000002,CACQAO010000003,CACQAO010000004,CACQAO010000005,CACQAO010000006,CACQAO010000007;Centre for Integrative Biology (CIBIO), University of Trento;113;1184957;35,205498;1276;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:45:26.067Z;2020-01-01T06:45:26.067Z;Drosophila melanogaster;Fruit fly;A
GCA_902638685;GCA_902638685.1_WOLB0262_genomic;244204,237;uncultured Wolbachia sp. strain WOLB0262;244204;WGS;WOLB0262;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139909;GCA_902638685.1;CACQAL010000001,CACQAL010000002,CACQAL010000003,CACQAL010000004,CACQAL010000005,CACQAL010000006,CACQAL010000007;Centre for Integrative Biology (CIBIO), University of Trento;119;1192494;35,172337;1288;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,7;;Good;2020-01-01T06:45:32.345Z;2020-01-01T06:45:32.345Z;Drosophila melanogaster;Fruit fly;A
GCA_902638695;GCA_902638695.1_WOLB0267_genomic;244204,245;uncultured Wolbachia sp. strain WOLB0267;244204;WGS;WOLB0267;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139914;GCA_902638695.1;CACQAM010000001,CACQAM010000002,CACQAM010000003,CACQAM010000004,CACQAM010000005,CACQAM010000006,CACQAM010000007;Centre for Integrative Biology (CIBIO), University of Trento;114;1189022;35,196995;1284;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:45:32.812Z;2020-01-01T06:45:32.812Z;Drosophila melanogaster;Fruit fly;A
GCA_902638705;GCA_902638705.1_WOLB0265_genomic;244204,246;uncultured Wolbachia sp. strain WOLB0265;244204;WGS;WOLB0265;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139912;GCA_902638705.1;CACQAP010000001,CACQAP010000002,CACQAP010000003,CACQAP010000004,CACQAP010000005,CACQAP010000006,CACQAP010000007;Centre for Integrative Biology (CIBIO), University of Trento;116;1197515;35,184193;1301;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:45:25.057Z;2020-01-01T06:45:25.057Z;Drosophila melanogaster;Fruit fly;A
GCA_902638715;GCA_902638715.1_WOLB0254_genomic;244204,247;uncultured Wolbachia sp. strain WOLB0254;244204;WGS;WOLB0254;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139901;GCA_902638715.1;CACQAJ010000001,CACQAJ010000002,CACQAJ010000003,CACQAJ010000004,CACQAJ010000005,CACQAJ010000006,CACQAJ010000007;Centre for Integrative Biology (CIBIO), University of Trento;118;1195432;35,29887;1290;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:45:23.551Z;2020-01-01T06:45:23.551Z;Drosophila melanogaster;Fruit fly;A
GCA_902638725;GCA_902638725.1_WOLB0256_genomic;244204,242;uncultured Wolbachia sp. strain WOLB0256;244204;WGS;WOLB0256;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139903;GCA_902638725.1;CACQAH010000001,CACQAH010000002,CACQAH010000003,CACQAH010000004,CACQAH010000005,CACQAH010000006,CACQAH010000007;Centre for Integrative Biology (CIBIO), University of Trento;121;1198840;35,25258;1297;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;99;;Good;2020-01-01T06:45:22.950Z;2020-01-01T06:45:22.950Z;Drosophila melanogaster;Fruit fly;A
GCA_902638735;GCA_902638735.1_WOLB0257_genomic;244204,241;uncultured Wolbachia sp. strain WOLB0257;244204;WGS;WOLB0257;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139904;GCA_902638735.1;CACQAI010000001,CACQAI010000002,CACQAI010000003,CACQAI010000004,CACQAI010000005,CACQAI010000006,CACQAI010000007;Centre for Integrative Biology (CIBIO), University of Trento;118;1193853;35,15642;1292;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;99;;Good;2020-01-01T06:35:22.145Z;2020-01-01T06:35:22.145Z;Drosophila melanogaster;Fruit fly;A
GCA_902638745;GCA_902638745.1_WOLB0259_genomic;244204,243;uncultured Wolbachia sp. strain WOLB0259;244204;WGS;WOLB0259;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139906;GCA_902638745.1;CACQAG010000001,CACQAG010000002,CACQAG010000003,CACQAG010000004,CACQAG010000005,CACQAG010000006,CACQAG010000007;Centre for Integrative Biology (CIBIO), University of Trento;117;1191259;35,184624;1288;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:45:24.096Z;2020-01-01T06:45:24.096Z;Drosophila melanogaster;Fruit fly;A
GCA_902638755;GCA_902638755.1_WOLB0258_genomic;244204,244;uncultured Wolbachia sp. strain WOLB0258;244204;WGS;WOLB0258;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139905;GCA_902638755.1;CACQAK010000001,CACQAK010000002,CACQAK010000003,CACQAK010000004,CACQAK010000005,CACQAK010000006,CACQAK010000007;Centre for Integrative Biology (CIBIO), University of Trento;118;1195027;35,1372;1293;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:45:24.593Z;2020-01-01T06:45:24.593Z;Drosophila melanogaster;Fruit fly;A
GCA_902638765;GCA_902638765.1_WOLB0255_genomic;244204,248;uncultured Wolbachia sp. strain WOLB0255;244204;WGS;WOLB0255;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139902;GCA_902638765.1;CACQAV010000001,CACQAV010000002,CACQAV010000003,CACQAV010000004,CACQAV010000005,CACQAV010000006,CACQAV010000007;Centre for Integrative Biology (CIBIO), University of Trento;120;1197114;35,258545;1302;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;99;;Good;2020-01-01T06:45:37.988Z;2020-01-01T06:45:37.988Z;Drosophila melanogaster;Fruit fly;A
GCA_902638775;GCA_902638775.1_WOLB0260_genomic;244204,249;uncultured Wolbachia sp. strain WOLB0260;244204;WGS;WOLB0260;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139907;GCA_902638775.1;CACQAU010000001,CACQAU010000002,CACQAU010000003,CACQAU010000004,CACQAU010000005,CACQAU010000006,CACQAU010000007;Centre for Integrative Biology (CIBIO), University of Trento;117;1193729;35,137707;1292;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;99;;Good;2020-01-01T06:45:37.001Z;2020-01-01T06:45:37.001Z;Drosophila melanogaster;Fruit fly;A
GCA_902638795;GCA_902638795.1_WOLB0268_genomic;244204,256;uncultured Wolbachia sp. strain WOLB0268;244204;WGS;WOLB0268;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139915;GCA_902638795.1;CACQAX010000001,CACQAX010000002,CACQAX010000003,CACQAX010000004,CACQAX010000005,CACQAX010000006,CACQAX010000007;Centre for Integrative Biology (CIBIO), University of Trento;116;1193760;35,183037;1298;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:45:30.493Z;2020-01-01T06:45:30.493Z;Drosophila melanogaster;Fruit fly;A
GCA_902638805;GCA_902638805.1_WOLB0270_genomic;244204,255;uncultured Wolbachia sp. strain WOLB0270;244204;WGS;WOLB0270;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139917;GCA_902638805.1;CACQAQ010000001,CACQAQ010000002,CACQAQ010000003,CACQAQ010000004,CACQAQ010000005,CACQAQ010000006,CACQAQ010000007;Centre for Integrative Biology (CIBIO), University of Trento;116;1188528;35,206913;1286;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;99;98,8;;Good;2020-01-01T06:45:28.974Z;2020-01-01T06:45:28.974Z;Drosophila melanogaster;Fruit fly;A
GCA_902638815;GCA_902638815.1_WOLB0271_genomic;244204,258;uncultured Wolbachia sp. strain WOLB0271;244204;WGS;WOLB0271;;CI;R;2019-11-12T00:00:00Z;PRJEB35167;SAMEA6139919;GCA_902638815.1;CACQAS010000001,CACQAS010000002,CACQAS010000003,CACQAS010000004,CACQAS010000005,CACQAS010000006,CACQAS010000007;Centre for Integrative Biology (CIBIO), University of Trento;115;1189053;35,210876;1285;"Wolbachia are common intracellular bacteria of many arthropods and nematodes. This collection of Wolbachia genomes spans many host species, and was obtained by screening over 30,000 publicly available sequencing samples from more than 500 arthropods and nematodes.;Wolbachia metagenome-assembled genome";;98,9;98,9;;Good;2020-01-01T06:45:29.501Z;2020-01-01T06:45:29.501Z;Drosophila melanogaster;Fruit fly;A
